Subcontractor Schedule of Rates Summary,,,,,,,,,,
,,,,,,,,,,
2YON-01: Craig Comms,,,,,,,,,,
,,,,,,,,,,
Lend Lease,,,,,,,,,,
,,,,,,,,,,
SoR Code,Asset,UoM,Subcontractor,Rate,Actual Qty,Actual Value,,,Node,
,2YON-01-00-DJL-006,JntEnc,Craig Comms,$ 141.04,1,$ 141.04,,,0,
,2YON-01-00-DJL-007,JntEnc,Craig Comms,$ 141.04,1,$ 141.04,,,0,
,,,,,,,,,,
06-01-04-01/01-01,Prepare DFN fibre cable sheath 576F,Cable,,$ 347.50,4,"$ 1,390.00",,,,
,2YON-01-00-DJL-001,Cable,Craig Comms,$ 347.50,3,"$ 1,042.50",,,0,
,2YON-01-00-DJL-007,Cable,Craig Comms,$ 347.50,1,$ 347.50,,,0,
,,,,,,,,,,
06-01-04-01/01-04,Prepare DFN fibre cable sheath 72F.,Cable,,$ 88.17,3,$ 264.51,,,,
,2YON-01-00-DJL-005,Cable,Craig Comms,$ 88.17,1,$ 88.17,,,0,
,2YON-01-00-DJL-006,Cable,Craig Comms,$ 88.17,2,$ 176.34,,,0,
,,,,,,,,,,
06-01-04-02/01-02,Prepare LFN fibre cable sheath 288F.,Cable,,$ 294.17,6,"$ 1,765.02",,,,
,2YON-01-00-DJL-002,Cable,Craig Comms,$ 294.17,3,$ 882.51,,,0,
,2YON-01-00-DJL-003,Cable,Craig Comms,$ 294.17,2,$ 588.34,,,0,
,2YON-01-00-DJL-004,Cable,Craig Comms,$ 294.17,1,$ 294.17,,,0,
,,,,,,,,,,
06-01-04-03/01-01,Prepare Tether fibre cable sheath,Cable,,$ 54.60,30,"$ 1,638.00",,,,
,2YON-01-00-DJL-002,Cable,Craig Comms,$ 54.60,2,$ 109.20,,,0,
,2YON-01-00-DJL-003,Cable,Craig Comms,$ 54.60,3,$ 163.80,,,0,
,2YON-01-00-DJL-004,Cable,Craig Comms,$ 54.60,4,$ 218.40,,,0,
,2YON-01-00-DJL-005,Cable,Craig Comms,$ 54.60,3,$ 163.80,,,0,
,2YON-01-00-DJL-006,Cable,Craig Comms,$ 54.60,2,$ 109.20,,,0,
,2YON-01-00-DJL-007,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,0,
,2YON-01-01-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,1,
,2YON-01-02-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,2,
,2YON-01-03-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,3,
,2YON-01-04-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,4,
,2YON-01-05-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,5,
,2YON-01-06-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,6,
,2YON-01-07-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,7,
,2YON-01-08-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,8,
,2YON-01-09-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,9,
,2YON-01-10-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,10,
,2YON-01-11-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,11,
,2YON-01-12-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,12,
,2YON-01-13-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,13,
,2YON-01-14-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,14,
,2YON-01-15-FNO-001,Cable,Craig Comms,$ 54.60,1,$ 54.60,,,15,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 20,866.60",,,,
06-04-00-01/01-01,576F Cable to be terminated in FAN on HDODF,cable,,"$ 1,200.00",1,"$ 1,200.00",,,,
,2YON-ODF-001-S01,cable,Craig Comms,"$ 1,200.00",1,"$ 1,200.00",,,0,
,,,,,,,,,,
06-04-00-02/01-01,Supply & install patching cable for PON patching.,cable,,$ 50.00,30,"$ 1,500.00",,,,
,2YON-ODF-001-S01,cable,Craig Comms,$ 50.00,30,"$ 1,500.00",,,0,
,,,,,,,,,,
06-05-00-01/01-01,Installation of a multiport in underground pit or manhole.,ea,,$ 42.42,15,$ 636.30,,,,
,2YON-01-01-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,1,
,2YON-01-02-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,2,
,2YON-01-03-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,3,
,2YON-01-04-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,4,
,2YON-01-05-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,5,
,2YON-01-06-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,6,
,2YON-01-07-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,7,
,2YON-01-08-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,8,
,2YON-01-09-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,9,
,2YON-01-10-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,10,
,2YON-01-11-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,11,
,2YON-01-12-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,12,
,2YON-01-13-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,13,
,2YON-01-14-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,14,
,2YON-01-15-MPT-001,ea,Craig Comms,$ 42.42,1,$ 42.42,,,15,
,,,,,,,,,,
06-06-00-01/01-01,Splicing of optic fibre ribbons.,ribbon,,$ 19.15,64,"$ 1,225.60",,,,
,2YON-01-00-DJL-001,ribbon,Craig Comms,$ 19.15,2,$ 38.30,,,0,
,2YON-01-00-DJL-002,ribbon,Craig Comms,$ 19.15,24,$ 459.60,,,0,
,2YON-01-00-DJL-003,ribbon,Craig Comms,$ 19.15,24,$ 459.60,,,0,
,2YON-01-00-DJL-004,ribbon,Craig Comms,$ 19.15,4,$ 76.60,,,0,
,2YON-01-00-DJL-005,ribbon,Craig Comms,$ 19.15,3,$ 57.45,,,0,
,2YON-01-00-DJL-006,ribbon,Craig Comms,$ 19.15,6,$ 114.90,,,0,
,2YON-01-00-DJL-007,ribbon,Craig Comms,$ 19.15,1,$ 19.15,,,0,
,,,,,,,,,,
06-06-00-02/01-01,Splicing of single fibre,ribbon,,$ 9.09,30,$ 272.70,,,,
,2YON-01-01-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,1,
,2YON-01-02-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,2,
,2YON-01-03-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,3,
,2YON-01-04-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,4,
,2YON-01-05-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,5,
,2YON-01-06-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,6,
,2YON-01-07-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,7,
,2YON-01-08-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,8,
,2YON-01-09-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,9,
,2YON-01-10-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,10,
,2YON-01-11-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,11,
,2YON-01-12-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,12,
,2YON-01-13-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,13,
,2YON-01-14-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,14,
,2YON-01-15-FNO-001,ribbon,Craig Comms,$ 9.09,2,$ 18.18,,,15,
,,,,,,,,,,
06-06-00-03/01-01,De-Ribbonise 12 fibre ribbon.,ribbon,,$ 32.00,15,$ 480.00,,,,
,2YON-01-01-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,1,
,2YON-01-02-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,2,
,2YON-01-03-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,3,
,2YON-01-04-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,4,
,2YON-01-05-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,5,
,2YON-01-06-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,6,
,2YON-01-07-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,7,
,2YON-01-08-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,8,
,2YON-01-09-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,9,
,2YON-01-10-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,10,
,2YON-01-11-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,11,
,2YON-01-12-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,12,
,2YON-01-13-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,13,
,2YON-01-14-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,14,
,2YON-01-15-FNO-001,ribbon,Craig Comms,$ 32.00,1,$ 32.00,,,15,
,,,,,,,,,,
06-07-02-01/01-01,DFN ODTR Testing.,fibre,,$ 27.00,576,"$ 15,552.00",,,,
,2YON-ODF-001-S01,fibre,Craig Comms,$ 27.00,576,"$ 15,552.00",,,0,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 9,957.36",,,,
07-01-02-02/01-01,Installation of a new Distribution  large copper joint.,jt,,$ 404.00,9,"$ 3,636.00",,,,
,2YON-01-06-CJL-001,jt,Craig Comms,$ 404.00,1,$ 404.00,,,6,
,2YON-01-07-CJL-001,jt,Craig Comms,$ 404.00,1,$ 404.00,,,7,
,2YON-01-07-CJL-002,jt,Craig Comms,$ 404.00,1,$ 404.00,,,7,
,2YON-01-07-CJL-003,jt,Craig Comms,$ 404.00,1,$ 404.00,,,7,
,2YON-01-08-CJL-002,jt,Craig Comms,$ 404.00,1,$ 404.00,,,8,
,2YON-01-08-CJL-003,jt,Craig Comms,$ 404.00,1,$ 404.00,,,8,
,2YON-01-13-CJL-001,jt,Craig Comms,$ 404.00,1,$ 404.00,,,13,
,2YON-01-13-CJL-002,jt,Craig Comms,$ 404.00,1,$ 404.00,,,13,
,2YON-01-14-CJL-001,jt,Craig Comms,$ 404.00,1,$ 404.00,,,14,
,,,,,,,,,,
07-01-02-03/01-01,Installation of a new Distribution small copper joint.,jt,,$ 265.00,3,$ 795.00,,,,
,2YON-01-04-CJL-001,jt,Craig Comms,$ 265.00,1,$ 265.00,,,4,
,2YON-01-10-CJL-001,jt,Craig Comms,$ 265.00,1,$ 265.00,,,10,
,2YON-01-15-CJL-001,jt,Craig Comms,$ 265.00,1,$ 265.00,,,15,
,,,,,,,,,,
07-01-02-07/01-01,Installation of new main cable medium copper joint.,jt,,"$ 1,087.63",4,"$ 4,350.52",,,,
,2YON-01-06-CJL-002,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,6,
,2YON-01-06-CJL-003,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,6,
,2YON-01-07-CJL-004,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,7,
,2YON-01-08-CJL-001,jt,Craig Comms,"$ 1,087.63",1,"$ 1,087.63",,,8,
,,,,,,,,,,
07-01-02-10/01-01,Cable Rearrangement - 200pr,200pr,,$ 293.96,4,"$ 1,175.84",,,,
,2YON-01-06-CJL-002,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,6,
,2YON-01-06-CJL-003,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,6,
,2YON-01-07-CJL-004,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,7,
,2YON-01-08-CJL-001,200pr,Craig Comms,$ 293.96,1,$ 293.96,,,8,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 65,920.10",,,,
07-01-01-03/01-01,Installation and termination of connection module,10 pr,,$ 17.23,1270,"$ 21,882.10",,,,
,000000002603504343,10 pr,Craig Comms,$ 17.23,20,$ 344.60,,,5,
,000000002603504378,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,5,
,000000002603504408,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,12,
,000000002603504413,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,12,
,000000002603504541,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,11,
,000000002603504566,10 pr,Craig Comms,$ 17.23,50,$ 861.50,,,10,
,000000002603504571,10 pr,Craig Comms,$ 17.23,20,$ 344.60,,,1,
,000000002603509590,10 pr,Craig Comms,$ 17.23,20,$ 344.60,,,4,
,000000002603509591,10 pr,Craig Comms,$ 17.23,120,"$ 2,067.60",,,6,
,000000002603509597,10 pr,Craig Comms,$ 17.23,50,$ 861.50,,,4,
,000000002603509598,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,2,
,000000002603509599,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,2,
,000000002603509602,10 pr,Craig Comms,$ 17.23,120,"$ 2,067.60",,,3,
,000000002603509655,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,1,
,000000002603510485,10 pr,Craig Comms,$ 17.23,120,"$ 2,067.60",,,13,
,000000002603510500,10 pr,Craig Comms,$ 17.23,50,$ 861.50,,,15,
,000000002603513959,10 pr,Craig Comms,$ 17.23,60,"$ 1,033.80",,,14,
,000000002603514343,10 pr,Craig Comms,$ 17.23,40,$ 689.20,,,9,
,000000002603514410,10 pr,Craig Comms,$ 17.23,140,"$ 2,412.20",,,7,
,000000002603515189,10 pr,Craig Comms,$ 17.23,120,"$ 2,067.60",,,8,
,000000006501761831,10 pr,Craig Comms,$ 17.23,20,$ 344.60,,,7,
,,,,,,,,,,
07-01-01-04/01-01,Upgrading of an existing CCU from 900 type to 1800 type.,ea,,$ 250.00,7,"$ 1,750.00",,,,
,000000002603504378,ea,Craig Comms,$ 250.00,1,$ 250.00,,,5,
,000000002603504541,ea,Craig Comms,$ 250.00,1,$ 250.00,,,11,
,000000002603509591,ea,Craig Comms,$ 250.00,1,$ 250.00,,,6,
,000000002603509602,ea,Craig Comms,$ 250.00,1,$ 250.00,,,3,
,000000002603509655,ea,Craig Comms,$ 250.00,1,$ 250.00,,,1,
,000000002603513959,ea,Craig Comms,$ 250.00,1,$ 250.00,,,14,
,000000002603514410,ea,Craig Comms,$ 250.00,1,$ 250.00,,,7,
,,,,,,,,,,
07-01-01-05/01-01,Service cutover on connection module,module,,$ 68.80,330,"$ 22,704.00",,,,
,000000002603504566,module,Craig Comms,$ 68.80,10,$ 688.00,,,10,
,000000002603509591,module,Craig Comms,$ 68.80,40,"$ 2,752.00",,,6,
,000000002603509597,module,Craig Comms,$ 68.80,10,$ 688.00,,,4,
,000000002603509602,module,Craig Comms,$ 68.80,60,"$ 4,128.00",,,3,
,000000002603510485,module,Craig Comms,$ 68.80,40,"$ 2,752.00",,,13,
,000000002603510500,module,Craig Comms,$ 68.80,10,$ 688.00,,,15,
,000000002603513959,module,Craig Comms,$ 68.80,20,"$ 1,376.00",,,14,
,000000002603514410,module,Craig Comms,$ 68.80,80,"$ 5,504.00",,,7,
,000000002603515189,module,Craig Comms,$ 68.80,60,"$ 4,128.00",,,8,
,,,,,,,,,,
07-01-01-08/01-01,Service jumpering in external large node,cabinet,,"$ 1,305.60",15,"$ 19,584.00",,,,
,2YON-01-01-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,1,
,2YON-01-02-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,2,
,2YON-01-03-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,3,
,2YON-01-04-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,4,
,2YON-01-05-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,5,
,2YON-01-06-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,6,
,2YON-01-07-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,7,
,2YON-01-08-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,8,
,2YON-01-09-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,9,
,2YON-01-10-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,10,
,2YON-01-11-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,11,
,2YON-01-12-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,12,
,2YON-01-13-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,13,
,2YON-01-14-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,14,
,2YON-01-15-FNO-001,cabinet,Craig Comms,"$ 1,305.60",1,"$ 1,305.60",,,15,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,"$ 3,654.00",,,,
07-01-03-07/01-01,Removal of a pair gain system.,jt,,$ 261.00,14,"$ 3,654.00",,,,
,000000015002128894,jt,Craig Comms,$ 261.00,1,$ 261.00,,,2,
,000000015003729069,jt,Craig Comms,$ 261.00,1,$ 261.00,,,11,
,000000015005413348,jt,Craig Comms,$ 261.00,1,$ 261.00,,,11,
,000000015005413505,jt,Craig Comms,$ 261.00,1,$ 261.00,,,11,
,000000015005415398,jt,Craig Comms,$ 261.00,1,$ 261.00,,,11,
,000000015006052796,jt,Craig Comms,$ 261.00,1,$ 261.00,,,13,
,000000015006913125,jt,Craig Comms,$ 261.00,1,$ 261.00,,,13,
,000000015006979457,jt,Craig Comms,$ 261.00,1,$ 261.00,,,1,
,000000015007298889,jt,Craig Comms,$ 261.00,1,$ 261.00,,,12,
,000000015007536104,jt,Craig Comms,$ 261.00,1,$ 261.00,,,2,
,000000015008242327,jt,Craig Comms,$ 261.00,1,$ 261.00,,,5,
,000000015015120658,jt,Craig Comms,$ 261.00,1,$ 261.00,,,7,
,000000015015120952,jt,Craig Comms,$ 261.00,1,$ 261.00,,,7,
,000000015015121140,jt,Craig Comms,$ 261.00,1,$ 261.00,,,7,
